freq,c_dest,purpose,duration,wstatus,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,TOTAL,N_GE4,UNE,NR,FI	217134 	287355 	286087 	320781 	337097 	335231 	179023 u	182933 	295899 	262689 	300886 	206193 	262592 
A,DOM,TOTAL,N_GE4,UNE,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	379066 u	486473 u	289039 u	677519 	750957 
A,DOM,TOTAL,N_GE4,UNE,NR,HR	: 	: 	314649 	224205 	: 	144310 	: 	179406 	103559 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNE,NR,HU	: 	: 	: 	54539 	36083 	28721 	29110 u	14275 u	12385 u	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNE,NR,LU	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNE,NR,LV	30920 u	: u	: u	45191 u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,TOTAL,N_GE4,UNE,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNE,NR,MT	: 	: 	: 	: u	: u	: 	: 	: u	: u	: u	: u	: u	: u
A,DOM,TOTAL,N_GE4,UNE,NR,NL	585474 	610960 	622842 	618972 	635726 	236470 	220690 	221285 	221925 	149116 	119849 	123024 u	84423 u
A,DOM,TOTAL,N_GE4,UNE,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	158009 u
A,DOM,TOTAL,N_GE4,UNE,NR,PT	197724 	328862 	: 	241220 	201569 	39059 	185359 	167307 	204547 	153701 	174842 	: u	135079 
A,DOM,TOTAL,N_GE4,UNE,NR,RO	104008 	99619 	55108 u	43941 u	31120 u	35516 u	: u	: u	: u	36700 u	: u	: u	: u
A,DOM,TOTAL,N_GE4,UNE,NR,RS	: 	: 	: 	: 	: 	: 	55146 u	: 	: 	: 	: 	: 	: 
A,DOM,TOTAL,N_GE4,UNE,NR,SI	23067 u	: u	: u	: u	: u	: 	: 	: 	: 	19342 u	: u	: u	: u
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	31962 	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	1236012 	1897332 	4102510 	4675543 	4483597 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	1390863 	1680574 	3253301 	3678589 	3441414 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	37953 u	: u	102076 	193702 	290734 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	1532374 	1259831 	2685401 	: 	: 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	71908 	56478 u	216308 	273609 	290823 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	575544 	490169 	1301715 	1701345 	1430481 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	6360670 	8497900 	12972090 	14296783 	18117536 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	711631 	763901 	1143824 	1295918 	2223331 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	141893 	109548 	328393 	408300 	366433 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	24894 u	39806 u	87513 	85435 	150825 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	1060415 	1262913 	2761412 	3079819 	3952338 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	627826 	576630 	1276922 	2256584 	2266911 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	2242381 	2350138 	5563893 	7239099 	6700532 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	99031 	112656 	322486 	539127 	661509 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	1047500 	858120 	1640254 	1734896 	1623963 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	234197 	125965 u	718399 	959742 	1343349 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	647363 	550478 	1309087 	1339681 	1683138 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	118469 	146362 	236685 	292252 	328937 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	427750 	533546 	798453 	919721 	875373 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	188389 	143201 	445240 	517220 	561656 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	19600 u	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	41261 	54204 	116836 	148470 	157329 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	1116399 	2449133 	4713208 	5291102 	5078738 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	485367 	1804450 	1705199 	2190707 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	859906 	979942 	1638227 	1822276 	2133146 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	137103 	159168 	476997 	713747 	591450 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	37953 u	57332 u	134147 	206176 	287134 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	886713 	1007355 	2725629 	: 	3057940 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	401885 	633641 	897369 	1326847 	1595010 
A,EU27_2020_FOR,PER,N1-3,ACT_INAC,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	346273 	404999 	1085767 	1390715 	1520628 
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	115120 	186920 	614322 	504441 	553814 
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	161329 	369016 	347708 	236821 
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	151128 u	200397 u	213966 u	197034 u	358878 u
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	26132 u	49405 u	39598 u
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	152003 u	171650 u	216221 u	228405 u	579729 
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	95715 u	: u	148258 u	278483 	282808 
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	246222 u	113085 u	423553 	927165 	845466 
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	36400 u	42456 u	52497 u
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	4490 u	5221 u	7868 	9444 
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	125138 u	371930 	721890 	697050 	826147 
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	24914 u	16066 u	52242 	: u	85807 
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N1-3,EDUC,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	63965 	126579 	146515 	132636 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	16012 u	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	946515 	1444886 	2619919 	3275236 	3068923 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1159769 	2285280 	2630723 	2550119 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	73033 u	156434 	239551 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	442145 	468553 	745978 	871363 	1538129 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	107160 	87023 	264012 	316143 	286052 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	677844 	817156 	2081899 	2451713 	2770869 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	427514 	371444 	835987 	1382682 	1413739 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	1566482 	1744176 	3855178 	5136674 	4881342 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	57460 u	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	145386 	121270 	362535 	410431 	442806 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	19084 u	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	35302 	42310 	97902 	120527 	126056 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	812205 	1610429 	3284456 	3794961 	3437441 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1685592 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	97527 	105954 	329134 	: u	430960 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	33907 u	44420 u	108501 	151554 	237003 
A,EU27_2020_FOR,PER,N1-3,EMP,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	445034 	684025 	965217 	1238262 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	112051 	244767 	640939 	784665 	778583 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	1390863 	300056 	504712 	603012 	552454 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	37953 u	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	1532374 	1259831 	2685401 	: 	: 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	71908 	56478 u	216308 	273609 	290823 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	575544 	490169 	1301715 	1701345 	1430481 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	6360670 	8497900 	12972090 	14296783 	18117536 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	101539 u	69489 u	165476 u	200206 	293351 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	31816 u	34390 u	30063 u
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	24894 u	39806 u	87513 	85435 	150825 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	103653 	207753 	294466 	265569 	430259 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	91579 u	111375 u	277172 	524207 	470988 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	401776 	460934 	1258434 	1014414 	873093 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	16280 u	112656 	322486 	539127 	661509 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	1047500 	858120 	1640254 	1734896 	1623963 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	234197 	125965 u	718399 	959742 	1343349 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	647363 	550478 	1309087 	1339681 	1683138 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	118469 	146362 	236685 	292252 	328937 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	427750 	533546 	798453 	919721 	875373 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	33054 u	39766 u	51763 u
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	10800 u	18904 	21083 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	156795 	397031 	645362 	702653 	745451 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	485367 	1804450 	1705199 	373938 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	859906 	979942 	1638227 	1822276 	2133146 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: u	23928 u	69540 	697080 	60495 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	886713 	1007355 	2725629 	: 	3057940 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	401885 	94200 	68956 	188168 	189280 
A,EU27_2020_FOR,PER,N1-3,INAC_OTH,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	346273 	404999 	1085767 	1390715 	1520628 
A,EU27_2020_FOR,PER,N1-3,UNE,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,UNE,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	62326 u	: u	: u	111200 u	82277 u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	94293 u	97147 u	102020 u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	126915 u	66354 u	168826 u	134132 u	171481 
A,EU27_2020_FOR,PER,N1-3,UNE,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	71212 u	99375 u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,UNE,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 
A,EU27_2020_FOR,PER,N1-3,UNE,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	69743 u	61501 u	: u	69698 u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	26081 u	: u	14188 u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,EU27_2020_FOR,PER,N1-3,UNE,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	30442 u	17809 u	26948 u	34832 u
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	132097 	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	2745537 	5693822 	10335638 	11442751 	11408758 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	4725487 	6031294 	10582022 	11104802 	11374835 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	106281 	77016 	480738 	715572 	784173 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	5077041 	5189364 	9399768 	: 	: 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	252800 	298571 	767239 	1027870 	1094250 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	2094984 	2601456 	5277538 	5969617 	5610969 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	27454006 	37861817 	62702871 	69259601 	79197299 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	2265534 	2411296 	4069834 	4427008 	7726175 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	292016 	291253 	684636 	870169 	861739 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	136195 	195950 	480715 	541750 	608926 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	2435582 	3725116 	7871567 	8753200 	10364379 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	1478679 	1265344 	4216754 	4921417 	4916879 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	6040884 	8845429 	16791163 	19621815 	19351671 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	243030 	246873 	630558 	1013244 	1149189 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	1905161 	1976433 	4091998 	4586607 	4812286 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	850525 	862625 	3979938 	4572925 	6296812 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	1808737 	2718243 	5758578 	5503169 	5990256 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	337109 	421475 	910033 	1034779 	1115642 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	1138384 	1476294 	2149224 	2241401 	2218483 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	300743 	322014 	866247 	1027321 	1120010 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	32297 	104898 	: 	: 	: 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	105267 	187898 	398573 	515034 	533774 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	5333024 	9750465 	17089385 	18356584 	18018211 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	1485517 	5359893 	5138460 	6048203 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	4464113 	4859746 	8183800 	9233197 	9898754 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	350379 	551443 	1333708 	1772674 	1817502 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	351892 	788563 	1262171 	1590037 	1986712 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	2307780 	3297295 	10547617 	: 	11231402 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	981099 	1588407 	2331323 	2902947 	3385133 
A,EU27_2020_FOR,PER,N_GE1,ACT_INAC,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	765137 	1289062 	2618100 	3214158 	3518594 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	15588 u	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	298190 	579330 	1451216 	1197929 	1366191 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	725383 	1230196 	1173704 	1194289 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	75371 u	91840 	81973 u
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	444988 	556798 	767281 	705813 	1679289 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	30792 u	29867 u	52999 	96222 	89792 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	329981 	620278 	787614 	762241 	1539176 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	194406 u	119446 u	547607 	629408 	604796 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	537940 	560411 	1388609 	2734464 	2410384 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	81964 	79276 u	113460 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	11236 u	: 	: 	: 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	7218 u	14092 	23997 	30577 	30397 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	574800 	1370964 	2541584 	2563679 	2878433 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	205847 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	58321 	65748 	178601 	: u	249263 
A,EU27_2020_FOR,PER,N_GE1,EDUC,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	82433 u	129880 	275740 	370647 
