freq,duration,purpose,c_dest,wstatus,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,N1-3,PER,DOM,INAC_OTH,NR,BE	2900170 	3148329 	2689760 	4122410 	3203589 	4180516 b	4525446 	5225267 	4223336 	1425599 	1381653 	1567729 	1216276 
A,N1-3,PER,DOM,INAC_OTH,NR,BG	3842109 	3846551 	4071907 	3032569 	3364116 	5733767 	5021649 	4871905 	2608587 	425080 	458548 	609320 	734123 
A,N1-3,PER,DOM,INAC_OTH,NR,CH	6866989 	7743597 	6967693 	6853942 	6893722 	7052225 	6270958 	7083808 	7366468 	7991199 	7803821 	: 	: 
A,N1-3,PER,DOM,INAC_OTH,NR,CY	1823074 	1537768 	1607076 	1857829 	1903611 	1949968 	2106611 	2224148 	2420453 	2833921 	2429087 	2245089 	2253318 
A,N1-3,PER,DOM,INAC_OTH,NR,CZ	36200298 	33439028 	37078080 	31471676 	34237876 	38692095 	35701446 	35583530 	24998821 	27986259 	33641220 	25663027 	28774873 
A,N1-3,PER,DOM,INAC_OTH,NR,DE	167615290 	175945063 	161836384 	178011814 	168656004 	158998081 	165653957 	169979739 	109041635 	135543458 	137011532 	160783148 	172715863 
A,N1-3,PER,DOM,INAC_OTH,NR,DK	26928655 	29541173 b	30055318 	30299877 	26815133 	22321093 	12278571 	4408621 	4302610 	3109301 	3327694 	3186767 	4170895 
A,N1-3,PER,DOM,INAC_OTH,NR,EE	244203 	297978 	528123 	521809 	546327 	572135 	701683 	660667 	385817 	390834 	423404 	571487 	627651 
A,N1-3,PER,DOM,INAC_OTH,NR,EL	5495625 	2923276 	3581761 	3243607 	3060303 	3270170 	3502922 	2934694 	2629941 	2785092 	3712979 	3556493 	3432642 
A,N1-3,PER,DOM,INAC_OTH,NR,ES	37361177 	36982324 	39515194 	29355037 b	30412923 	33897352 	34913276 	36357203 	15552947 	23181200 	30796535 	30793800 	34870597 
A,N1-3,PER,DOM,INAC_OTH,NR,FI	8039640 	7715576 	7573154 	7955018 	8139826 	8032936 	8082627 	7790099 	5211703 	6934725 	6612383 	6463030 	7999641 
A,N1-3,PER,DOM,INAC_OTH,NR,FR	184861260 	181954190 	184491323 	163206588 	160888964 	179119303 	172165371 	175093744 	34669761 	57348296 	67255985 	45430287 	41719439 
A,N1-3,PER,DOM,INAC_OTH,NR,HR	5817978 	5731124 	964460 	633797 	2600601 	435811 	2806091 	570879 	346808 	3027669 	2869310 	3456316 	4003476 
A,N1-3,PER,DOM,INAC_OTH,NR,HU	20305731 	16457775 	17894808 	5235108 	5126742 	4792656 	4596150 	4669247 	2369170 	12198417 	15938878 	15578822 	16400199 
A,N1-3,PER,DOM,INAC_OTH,NR,IE	8905635 	8751585 	9487565 	9516756 	9993138 	10362955 	11927113 	12357077 	8082662 	5956488 	14289512 	13483543 	18047553 
A,N1-3,PER,DOM,INAC_OTH,NR,IT	42155530 	33327995 	36329218 b	34577378 	44060794 	41064916 	47599534 	41217546 	24683257 	24387016 	35750878 	31510518 	27454564 
A,N1-3,PER,DOM,INAC_OTH,NR,LT	3283417 	3121013 	3396253 	3402998 	3161710 	3227905 	3363645 	3495470 	3020990 	4028283 	4730132 	5193499 	6204165 
